ds,Category,Region,Data_Type,Actual_Sales,Forecast_Sales,Forecast_Lower,Forecast_Upper,Year,Month,Month_Name,Quarter,Day_of_Week
2015-05-23,Office Supplies,Central,Historical,1304.956,3690.082397168687,0.0,15507.066715515246,2015,5,May,2,Saturday
2015-05-24,Office Supplies,Central,Historical,610.3069999999999,2787.1438021662207,0.0,13569.122690922926,2015,5,May,2,Sunday
2015-05-25,Office Supplies,Central,Historical,6957.6720000000005,9591.497217462722,0.0,20558.539910249754,2015,5,May,2,Monday
2015-05-29,Office Supplies,Central,Historical,1204.842,1574.9790766388542,0.0,11468.76635208632,2015,5,May,2,Friday
2015-05-31,Office Supplies,Central,Historical,15534.414,5311.597212830514,0.0,16371.056313861387,2015,5,May,2,Sunday
2015-06-01,Office Supplies,Central,Historical,3336.7920000000004,4298.066114976629,0.0,14772.465928538635,2015,6,June,2,Monday
2015-06-05,Office Supplies,Central,Historical,1533.1979999999999,4583.114461217625,0.0,15759.369615878735,2015,6,June,2,Friday
2015-06-08,Office Supplies,Central,Historical,1083.112,4730.921598882908,0.0,15679.77520194951,2015,6,June,2,Monday
2015-06-09,Office Supplies,Central,Historical,797.116,2848.795743627072,0.0,14470.277911347672,2015,6,June,2,Tuesday
2015-06-12,Office Supplies,Central,Historical,174.476,3143.382033530962,0.0,13956.102910642097,2015,6,June,2,Friday
2015-06-16,Office Supplies,Central,Historical,6887.808,2148.230486511565,0.0,13063.149723866421,2015,6,June,2,Tuesday
2015-06-19,Office Supplies,Central,Historical,892.692,492.0614934022069,0.0,11145.099771098314,2015,6,June,2,Friday
2015-06-25,Office Supplies,Central,Historical,2571.2400000000002,503.9747236426201,0.0,11470.559192438886,2015,6,June,2,Thursday
2015-07-02,Office Supplies,Central,Historical,6527.608,2189.3793657288124,0.0,12740.999310251818,2015,7,July,3,Thursday
2015-07-05,Office Supplies,Central,Historical,121.646,2699.1521293915134,0.0,13901.131050932581,2015,7,July,3,Sunday
2015-07-08,Office Supplies,Central,Historical,21.12,0.0,0.0,9868.889944912808,2015,7,July,3,Wednesday
2015-07-09,Office Supplies,Central,Historical,1587.114,2470.883864736264,0.0,12757.513443023061,2015,7,July,3,Thursday
2015-07-12,Office Supplies,Central,Historical,4105.134,4235.368207216596,0.0,15401.821221825956,2015,7,July,3,Sunday
2015-07-13,Office Supplies,Central,Historical,2033.2559999999999,3777.858887684335,0.0,14096.926663032054,2015,7,July,3,Monday
2015-07-17,Office Supplies,Central,Historical,896.164,3622.9951431108198,0.0,14188.71589280921,2015,7,July,3,Friday
2015-07-20,Office Supplies,Central,Historical,16159.008000000002,4208.840345818412,0.0,15639.595057154513,2015,7,July,3,Monday
2015-07-30,Office Supplies,Central,Historical,443.802,1830.410248276984,0.0,12991.567562266371,2015,7,July,3,Thursday
2015-07-31,Office Supplies,Central,Historical,3712.162,4449.772743029129,0.0,15449.354889707947,2015,7,July,3,Friday
2015-08-05,Office Supplies,Central,Historical,217.95000000000002,0.0,0.0,11059.342504322261,2015,8,August,3,Wednesday
2015-08-06,Office Supplies,Central,Historical,1979.4768000000001,3313.7874239798307,0.0,14698.564216707404,2015,8,August,3,Thursday
2015-08-07,Office Supplies,Central,Historical,968.206,3302.142322880406,0.0,13693.982843050007,2015,8,August,3,Friday
2015-08-09,Office Supplies,Central,Historical,9756.784000000001,5226.312593187613,0.0,16775.04950006103,2015,8,August,3,Sunday
2015-08-10,Office Supplies,Central,Historical,3405.8959999999997,2613.218532494793,0.0,13529.02334222515,2015,8,August,3,Monday
2015-08-13,Office Supplies,Central,Historical,586.896,2829.9268776967738,0.0,13186.840011847742,2015,8,August,3,Thursday
2015-08-23,Office Supplies,Central,Historical,4809.112,6542.603451387921,0.0,17063.65704033422,2015,8,August,3,Sunday
2015-08-24,Office Supplies,Central,Historical,21584.325,9156.633918609861,0.0,19939.808288098793,2015,8,August,3,Monday
2015-08-25,Office Supplies,Central,Historical,178.52599999999998,5250.290733736386,0.0,15483.093310686207,2015,8,August,3,Tuesday
2015-08-31,Office Supplies,Central,Historical,2601.797,10384.586816327184,131.23466851199282,21210.15623813634,2015,8,August,3,Monday
2015-09-03,Office Supplies,Central,Historical,1874.898,9225.099084279722,0.0,19714.875981305402,2015,9,September,3,Thursday
2015-09-05,Office Supplies,Central,Historical,3736.4120000000003,8654.783866171243,0.0,19442.110652904652,2015,9,September,3,Saturday
2015-09-10,Office Supplies,Central,Historical,1415.726,7113.742929791109,0.0,18855.165535662276,2015,9,September,3,Thursday
2015-09-13,Office Supplies,Central,Historical,3445.772,7022.639022421436,0.0,17745.907038451118,2015,9,September,3,Sunday
2015-09-14,Office Supplies,Central,Historical,3262.42,4057.9123400411986,0.0,14925.305100765368,2015,9,September,3,Monday
2015-09-15,Office Supplies,Central,Historical,5071.7,2184.699478766097,0.0,12922.539556147889,2015,9,September,3,Tuesday
2015-09-17,Office Supplies,Central,Historical,11525.006,3657.799599124775,0.0,14016.72804439613,2015,9,September,3,Thursday
2015-09-20,Office Supplies,Central,Historical,1836.052,1660.3035537085843,0.0,12122.357955487681,2015,9,September,3,Sunday
2015-09-21,Office Supplies,Central,Historical,6982.058,3550.234188250164,0.0,14639.335217090678,2015,9,September,3,Monday
2015-09-24,Office Supplies,Central,Historical,4220.594,1559.7552914834587,0.0,12625.963741021638,2015,9,September,3,Thursday
2015-09-25,Office Supplies,Central,Historical,3033.757,1512.748122915139,0.0,13093.202406687451,2015,9,September,3,Friday
2015-09-26,Office Supplies,Central,Historical,3722.273,2859.563048758237,0.0,13626.66272388347,2015,9,September,3,Saturday
2015-09-27,Office Supplies,Central,Historical,7148.874,2766.1953606896022,0.0,13408.06333215753,2015,9,September,3,Sunday
2015-10-01,Office Supplies,Central,Historical,1158.414,0.0,0.0,10433.943490347876,2015,10,October,4,Thursday
2015-10-08,Office Supplies,Central,Historical,222.12,1146.5874215151198,0.0,11899.078673973603,2015,10,October,4,Thursday
2015-10-09,Office Supplies,Central,Historical,6400.605000000001,1953.5115102130485,0.0,12648.961203059229,2015,10,October,4,Friday
2015-10-10,Office Supplies,Central,Historical,2248.194,1931.9733203366777,0.0,13099.451600568085,2015,10,October,4,Saturday
2015-10-12,Office Supplies,Central,Historical,2390.758,7208.628664981273,0.0,18334.697687812302,2015,10,October,4,Monday
2015-10-15,Office Supplies,Central,Historical,9658.662,3840.4412903079556,0.0,15120.348713910034,2015,10,October,4,Thursday
2015-10-18,Office Supplies,Central,Historical,378.494,3266.155599180916,0.0,14201.00472730979,2015,10,October,4,Sunday
2015-10-19,Office Supplies,Central,Historical,4270.18,5308.945738901026,0.0,16008.454459684426,2015,10,October,4,Monday
2015-10-22,Office Supplies,Central,Historical,15.128,4666.564682844933,0.0,15791.425659612261,2015,10,October,4,Thursday
2015-10-23,Office Supplies,Central,Historical,6786.887999999999,5927.058562929049,0.0,16746.15453948638,2015,10,October,4,Friday
2015-10-24,Office Supplies,Central,Historical,2493.435,5118.075787551741,0.0,16141.126196893134,2015,10,October,4,Saturday
2015-10-31,Office Supplies,Central,Historical,3211.009,6696.245340238378,0.0,18530.160572508375,2015,10,October,4,Saturday
2015-11-02,Office Supplies,Central,Historical,5528.551,6267.957328339295,0.0,17327.34040602053,2015,11,November,4,Monday
